"modelName","ICspecTRUE","ICfitted","N","T","ntotal_outliers","NAN","StrongConv","NoConv","WeakConv","failedInvertSym","failedDecomp","noSE","nreps"
"PFAnons","diffuse","deJong",20,50,NA,19,420,79,0,79,0,19,407
"PFAnons","diffuse","deJong",200,5,NA,0,1,0,0,0,0,0,1
"PFAnons","diffuse","deJong",200,5,NA,0,1,0,0,0,0,0,495
"PFAnons","diffuse","deJong",200,5,NA,1,495,5,0,4,0,1,1
"PFAnons","diffuse","deJong",200,5,NA,1,495,5,0,4,0,1,495
"PFAnons","diffuse","EKF",20,50,1,164,429,17,4,129,0,0,321
"PFAnons","diffuse","EKF",200,5,NA,0,500,0,0,0,0,0,500
"PFAnons","diffuse","EKF",200,5,NA,0,500,0,0,0,0,0,1
"PFAnons","diffuse","EKF",200,5,NA,0,1,0,0,0,0,0,500
"PFAnons","diffuse","EKF",200,5,NA,0,1,0,0,0,0,0,1
"PFAnons","diffuse","FreeParm",20,50,1,168,455,15,30,178,0,1,321
"PFAnons","diffuse","FreeParm",200,5,NA,0,500,0,0,0,0,0,1
"PFAnons","diffuse","FreeParm",200,5,NA,0,500,0,0,0,0,0,500
"PFAnons","diffuse","FreeParm",200,5,NA,0,1,0,0,0,0,0,1
"PFAnons","diffuse","FreeParm",200,5,NA,0,1,0,0,0,0,0,500
"PFAnons","diffuse","largeK",20,50,3,164,474,24,2,175,0,1,324
"PFAnons","diffuse","largeK",200,5,NA,0,1,0,0,0,0,0,500
"PFAnons","diffuse","largeK",200,5,NA,0,1,0,0,0,0,0,1
"PFAnons","diffuse","largeK",200,5,NA,0,500,0,0,0,0,0,500
"PFAnons","diffuse","largeK",200,5,NA,0,500,0,0,0,0,0,1
"PFAnons","diffuse","Null",20,50,2,165,496,3,1,175,0,0,325
"PFAnons","diffuse","Null",200,5,NA,0,1,0,0,0,0,0,498
"PFAnons","diffuse","Null",200,5,NA,0,1,0,0,0,0,0,1
"PFAnons","diffuse","Null",200,5,NA,1,499,1,0,2,0,0,498
"PFAnons","diffuse","Null",200,5,NA,1,499,1,0,2,0,0,1
"PFAnons","FreeParm","deJong",20,50,NA,19,444,55,0,52,0,13,439
"PFAnons","FreeParm","deJong",200,5,NA,0,500,0,0,0,0,0,500
"PFAnons","FreeParm","EKF",20,50,2,148,436,10,4,115,0,0,336
"PFAnons","FreeParm","EKF",200,5,NA,0,500,0,0,0,0,0,500
"PFAnons","FreeParm","FreeParm",20,50,1,150,452,24,23,167,0,0,331
"PFAnons","FreeParm","FreeParm",200,5,NA,0,500,0,0,0,0,0,500
"PFAnons","FreeParm","largeK",20,50,3,148,476,21,2,160,0,1,338
"PFAnons","FreeParm","largeK",200,5,NA,0,500,0,0,0,0,0,500
"PFAnons","FreeParm","Null",20,50,2,148,497,0,2,160,0,0,338
"PFAnons","FreeParm","Null",200,5,NA,0,500,0,0,0,0,0,500
"PFAnons","Null","deJong",20,50,NA,14,323,56,0,53,0,8,322
"PFAnons","Null","deJong",200,5,NA,0,500,0,0,0,0,0,500
"PFAnons","Null","EKF",20,50,3,72,348,8,2,68,0,0,290
"PFAnons","Null","EKF",200,5,NA,0,500,0,0,0,0,0,500
"PFAnons","Null","FreeParm",20,50,NA,76,366,6,8,294,0,0,86
"PFAnons","Null","FreeParm",200,5,NA,2,500,0,0,382,0,0,118
"PFAnons","Null","largeK",20,50,1,70,364,11,3,89,0,1,289
"PFAnons","Null","largeK",200,5,NA,0,500,0,0,0,0,0,500
"PFAnons","Null","Null",20,50,6,68,376,2,2,81,0,0,299
