"modelName","ICspecTRUE","bestAIC","bestBIC","winning_model"
"PFAnons","diffuse",297,297,"deJong"
"PFAnons","diffuse",202,202,"EKF"
"PFAnons","diffuse",1,1,"largeK"
"PFAnons","diffuse",1,1,"Null"
"PFAnons","FreeParm",301,301,"deJong"
"PFAnons","FreeParm",202,202,"EKF"
"PFAnons","FreeParm",1,1,"largeK"
"PFAnons","Null",288,288,"deJong"
"PFAnons","Null",211,211,"EKF"
"PFAnons","Null",1,1,"Null"
"PFAnonsMild","diffuse",233,233,"deJong"
"PFAnonsMild","diffuse",249,249,"EKF"
"PFAnonsMild","diffuse",17,17,"FreeParm"
"PFAnonsMild","diffuse",6,6,"largeK"
"PFAnonsMild","diffuse",25,25,"Null"
"PFAnonsMild","FreeParm",222,222,"deJong"
"PFAnonsMild","FreeParm",245,245,"EKF"
"PFAnonsMild","FreeParm",11,11,"FreeParm"
"PFAnonsMild","FreeParm",3,3,"largeK"
"PFAnonsMild","FreeParm",37,37,"Null"
"PFAnonsMild","Null",180,180,"deJong"
"PFAnonsMild","Null",271,271,"EKF"
"PFAnonsMild","Null",8,8,"FreeParm"
"PFAnonsMild","Null",40,40,"Null"
"PFAnonsModerate","diffuse",330,330,"deJong"
"PFAnonsModerate","diffuse",335,335,"EKF"
"PFAstat","FreeParm",463,463,"deJong"
"PFAstat","FreeParm",447,447,"EKF"
"PFAstat","ModelImplied",454,454,"deJong"
"PFAstat","ModelImplied",458,458,"EKF"
"PFAstat","Null",457,457,"deJong"
"PFAstat","Null",445,445,"EKF"
