"modelName","ICspecTRUE","ICfitted","N","T","AIC","BIC","finalN","lv_rmse","time"
"PFAnons","diffuse","deJong",20,50,426.735257682737,448.641367700924,407,0.367568796310988,3.05294840294895
"PFAnons","diffuse","deJong",200,5,3674.73663202928,3747.29961409334,496,0.395419745206999,5.13441532258032
"PFAnons","diffuse","EKF",20,50,426.730327650955,448.636437669143,320,0.367189101029812,2.30840625000005
"PFAnons","diffuse","EKF",200,5,3674.66077103681,3747.22375310087,501,0.395362996821165,2.77185628742526
"PFAnons","diffuse","FreeParm",20,50,429.889363062896,451.795473081084,320,0.367002095727855,3.61278124999944
"PFAnons","diffuse","FreeParm",200,5,4000.55361824136,4073.11660030541,501,0.385209004414993,3.98662674650705
"PFAnons","diffuse","largeK",20,50,433.730115136582,455.63622515477,321,0.367217855793099,2.33436137071606
"PFAnons","diffuse","largeK",200,5,4374.65086388459,4447.21384594865,501,0.395283009866241,2.64544910179643
"PFAnons","diffuse","Null",20,50,442.922374338061,464.828484356249,323,0.461918175268149,2.31934984520118
"PFAnons","diffuse","Null",200,5,4705.01146119496,4777.57444325901,499,0.957256254144915,2.79446893787549
"PFAnons","FreeParm","deJong",20,50,426.840884014899,448.746994033087,439,0.367237799523163,3.04400911161744
"PFAnons","FreeParm","deJong",200,5,3673.20674258221,3745.76972464627,500,0.399217852471855,5.03528
"PFAnons","FreeParm","EKF",20,50,426.718022775115,448.624132793303,334,0.36714628851182,2.39853293413179
"PFAnons","FreeParm","EKF",200,5,3673.20674258222,3745.76972464628,500,0.399217853511447,2.72658
"PFAnons","FreeParm","FreeParm",20,50,428.938443741742,450.84455375993,330,0.366501691272512,3.44539393939381
"PFAnons","FreeParm","FreeParm",200,5,3906.59059604369,3979.15357810774,500,0.379796032683998,3.91513999999999
"PFAnons","FreeParm","largeK",20,50,433.695980702727,455.602090720914,335,0.367211802758255,2.42647761194044
"PFAnons","FreeParm","largeK",200,5,4373.02137971247,4445.58436177653,500,0.399164352056919,2.60601999999999
"PFAnons","FreeParm","Null",20,50,435.03166786045,456.937777878638,336,0.406565751065153,2.35886904761936
"PFAnons","FreeParm","Null",200,5,4290.30335848181,4362.86634054587,500,0.677710496520949,2.49494
"PFAnons","Null","deJong",20,50,426.835063532491,448.741173550679,322,0.367095402631778,2.93403726708041
"PFAnons","Null","deJong",200,5,3665.3044710782,3737.86745314226,500,0.426954991960949,4.76833999999985
"PFAnons","Null","EKF",20,50,426.737848717028,448.643958735216,287,0.367081088027829,2.4073519163753
"PFAnons","Null","EKF",200,5,3665.30447107825,3737.8674531423,500,0.426954998200416,2.54997999999975
"PFAnons","Null","FreeParm",20,50,427.410013154284,449.316123172472,86,0.362110506723681,5.14988372093039
"PFAnons","Null","FreeParm",200,5,3760.14707662643,3832.71005869049,118,0.3393326617481,6.79805084745699
"PFAnons","Null","largeK",20,50,433.738519415545,455.644629433733,288,0.367081282410649,2.34909722222255
"PFAnons","Null","largeK",200,5,4364.99227530048,4437.55525736454,500,0.426897949937008,2.43097999999981
"PFAnons","Null","Null",20,50,427.537269177463,449.44337919565,293,0.362165350715917,2.5089078498294
"PFAnons","Null","Null",200,5,3760.72977941357,3833.29276147762,500,0.338283254008411,2.42957999999879
"PFAnonsMild","diffuse","deJong",20,50,393.509588725605,415.415698743793,341,0.233874636821279,4.04114369501468
"PFAnonsMild","diffuse","EKF",20,50,393.683158342258,415.589268360446,341,0.23407633809911,3.87947214076242
"PFAnonsMild","diffuse","FreeParm",20,50,396.793124105961,418.699234124148,385,0.233893610732767,5.27080519480524
"PFAnonsMild","diffuse","largeK",20,50,400.661445567971,422.567555586159,346,0.23422675406394,3.8891040462427
"PFAnonsMild","diffuse","Null",20,50,417.936559788106,439.842669806294,486,0.392168462425626,2.40308641975307
"PFAnonsMild","FreeParm","deJong",20,50,393.826116521126,415.732226539314,328,0.233086710195151,3.63332317073209
"PFAnonsMild","FreeParm","EKF",20,50,393.848455644682,415.75456566287,357,0.23294910638716,3.48582633053083
"PFAnonsMild","FreeParm","FreeParm",20,50,395.979248985469,417.885359003657,387,0.232698962158869,4.87971576227326
"PFAnonsMild","FreeParm","largeK",20,50,400.885819049045,422.791929067233,358,0.233044220458729,3.44167597765354
"PFAnonsMild","FreeParm","Null",20,50,407.429491612427,429.335601630615,493,0.318002047180444,2.27661257606437
"PFAnonsMild","Null","deJong",20,50,393.774950785651,415.681060803839,353,0.233692930131981,3.13555240793196
"PFAnonsMild","Null","EKF",20,50,393.736288218342,415.64239823653,432,0.233645302555495,2.70076388888886
"PFAnonsMild","Null","FreeParm",20,50,394.025839263258,415.931949281446,122,0.228436023774748,5.19500000000007
"PFAnonsMild","Null","largeK",20,50,400.717353147761,422.623463165949,434,0.233604931990591,2.67990783410145
"PFAnonsMild","Null","Null",20,50,393.97633857359,415.882448591778,447,0.227241377126914,2.64597315436226
"PFAnonsModerate","diffuse","deJong",200,5,3803.1772346604,3875.74021672446,458,0.422162980000724,5.00067685589443
