"modelName","ICspecTRUE","ICfitted","N","T","param_type","bias","rel_bias","rmse","coverage","sd_minus_se","power"
"PFAnons","diffuse","deJong",20,50,"measurement",-0.00091844987810209,-0.00080542203408181,0.0358800610353514,0.944226044226044,0.00107614482519293,1
"PFAnons","diffuse","deJong",20,50,"process_noise",-0.0098296654779868,-0.0315218130516893,0.0368280107269987,0.942669942669943,-0.0012785352541,0.976248976248976
"PFAnons","diffuse","deJong",20,50,"time_series",-0.000126660950544491,-1.47190724255035e-05,0.00286712131291832,0.961302211302211,-0.000154907653812044,1
"PFAnons","diffuse","deJong",200,5,"measurement",-0.0132263314863153,-0.0118938251491424,0.049269546171774,0.79859437751004,-0.000771332361194906,1
"PFAnons","diffuse","deJong",200,5,"process_noise",0.0174860869779769,0.0517385838453499,0.0473361748498819,0.93574297188755,-0.00271629283578081,0.957161981258367
"PFAnons","diffuse","deJong",200,5,"time_series",-0.0132131401545158,-0.0124096668838335,0.02112926941092,0.852911646586345,-0.000811027410956573,1
"PFAnons","diffuse","EKF",20,50,"measurement",-0.000540123228168465,-0.000284825738348696,0.0354081280506019,0.949375,0.000559213937983587,1
"PFAnons","diffuse","EKF",20,50,"process_noise",-0.0106884376675385,-0.0375205863960498,0.035657836541296,0.944791666666667,-0.00258287818390609,0.973958333333333
"PFAnons","diffuse","EKF",20,50,"time_series",-0.000233381403141747,-0.000202051401657705,0.00290649715993982,0.96171875,-0.000154054265346942,1
"PFAnons","diffuse","EKF",200,5,"measurement",-0.0133209586950604,-0.0119245305930093,0.0493152508482256,0.798210735586481,-0.000739925165322516,1
"PFAnons","diffuse","EKF",200,5,"process_noise",0.0176084430172636,0.0527577487489813,0.0473553517714194,0.9350563286945,-0.00274588514484603,0.957587806494367
"PFAnons","diffuse","EKF",200,5,"time_series",-0.0132055613854548,-0.012428397491538,0.0211396992746655,0.852882703777336,-0.000794058610413285,1
"PFAnons","diffuse","FreeParm",20,50,"init_cond",0.306240295777151,-0.581684679245649,1.82551427118991,0.378125,-0.194613325048722,0.53125
"PFAnons","diffuse","FreeParm",20,50,"measurement",-0.000534474383933076,-0.000220122974825469,0.035394138216485,0.9484375,0.000556868590086217,1
"PFAnons","diffuse","FreeParm",20,50,"process_noise",-0.0108830534958989,-0.0376052313906987,0.0357799818023771,0.942708333333333,-0.00249175653974788,0.972916666666667
"PFAnons","diffuse","FreeParm",20,50,"time_series",-0.000200857064612633,-0.000167391226564177,0.00291884674105729,0.96015625,-0.000140033081616023,1
"PFAnons","diffuse","FreeParm",200,5,"init_cond",0.359046803004488,-0.570612898702614,1.81822376332943,0.00675944333996024,-0.0803386779907737,0.619085487077535
"PFAnons","diffuse","FreeParm",200,5,"measurement",-0.000221077221054428,-0.000364208811209786,0.0415199619080802,0.951491053677932,-0.000673800577894422,1
"PFAnons","diffuse","FreeParm",200,5,"process_noise",-0.0107713562479175,-0.0292766756672406,0.0426543182040265,0.952286282306163,-0.00313652372856919,0.955599734923791
"PFAnons","diffuse","FreeParm",200,5,"time_series",0.00039544084868548,0.000650057899620174,0.0161788491231584,0.957256461232604,-0.000788495138232121,1
"PFAnons","diffuse","largeK",20,50,"measurement",-0.000561390003895623,-0.000274770729454384,0.0353904370826955,0.949532710280374,0.000541018697395826,1
"PFAnons","diffuse","largeK",20,50,"process_noise",-0.0107892591069415,-0.037385626352492,0.0356922284652837,0.944963655244029,-0.00258609783117904,0.975077881619938
"PFAnons","diffuse","largeK",20,50,"time_series",-0.000251427218098815,-0.000207979024931216,0.00291913715775486,0.961059190031153,-0.000143396344661317,1
"PFAnons","diffuse","largeK",200,5,"measurement",-0.0132819346123636,-0.0118970881162917,0.0492672439569432,0.799005964214712,-0.000740143196080435,1
"PFAnons","diffuse","largeK",200,5,"process_noise",0.017497465594352,0.0524557320087398,0.0473011797433885,0.9350563286945,-0.00274809661575221,0.957587806494367
"PFAnons","diffuse","largeK",200,5,"time_series",-0.0131657711402928,-0.0123877080952219,0.0211150608863897,0.85337972166998,-0.000794113360144945,1
"PFAnons","diffuse","Null",20,50,"measurement",0.0604341821390446,0.0997588315922109,0.0776715351317572,0.711764705882353,0.00175749741058325,1
"PFAnons","diffuse","Null",20,50,"process_noise",0.00369214057735106,-0.15534050323771,0.0588437276089385,0.754385964912281,-0.00150525872284082,0.743034055727554
"PFAnons","diffuse","Null",20,50,"time_series",-0.000113261342720494,-0.000134324632938696,0.00291549313289639,0.972136222910217,-0.000350930350086952,1
"PFAnons","diffuse","Null",200,5,"measurement",0.573223095438613,0.851159275493182,0.589360463236333,0.388223552894212,-0.00383013091650766,1
"PFAnons","diffuse","Null",200,5,"process_noise",0.370557211231777,-0.147441325723162,0.598617005160508,0,-0.019131769736115,0.98270126413839
"PFAnons","diffuse","Null",200,5,"time_series",0.0156313215634203,0.0181602033561517,0.0248554252841028,0.993013972055888,-0.0144433684828582,1
"PFAnons","FreeParm","deJong",20,50,"measurement",-0.000941345206605343,-0.000494162677660306,0.0345777446759161,0.949886104783599,-0.000355739533504341,1
"PFAnons","FreeParm","deJong",20,50,"process_noise",-0.00757389688416039,-0.0237787399096229,0.0358337129858074,0.945330296127563,-0.00184118030264648,0.981776765375854
"PFAnons","FreeParm","deJong",20,50,"time_series",-0.000147437195796657,-8.96206676103446e-05,0.00294636344399941,0.958997722095672,-0.000236784870846606,1
"PFAnons","FreeParm","deJong",200,5,"measurement",-0.0189423531106029,-0.0168956611806421,0.0546241151365463,0.7572,-0.00026649838144428,1
"PFAnons","FreeParm","deJong",200,5,"process_noise",0.0389166947658558,0.117767394551547,0.0616368492935921,0.870666666666667,-0.00127886789891946,0.964666666666667
"PFAnons","FreeParm","deJong",200,5,"time_series",-0.0264402031671197,-0.0230109204508209,0.0337306395582837,0.783,-0.00115580504849127,1
"PFAnons","FreeParm","EKF",20,50,"measurement",-0.000728856200552302,-0.00062626019322976,0.0345978645212506,0.951197604790419,-0.000345731875360207,1
"PFAnons","FreeParm","EKF",20,50,"process_noise",-0.00860994915330421,-0.029433937617369,0.0358744076303271,0.941117764471058,-0.00184902863525993,0.974051896207585
"PFAnons","FreeParm","EKF",20,50,"time_series",-0.000162937290880336,-0.000144243362214225,0.00302698176056481,0.958083832335329,-0.000233007709034807,1
"PFAnons","FreeParm","EKF",200,5,"measurement",-0.0189423549695966,-0.0168956621540829,0.054624117092682,0.7572,-0.000266498237863815,1
"PFAnons","FreeParm","EKF",200,5,"process_noise",0.0389166943841318,0.117767395687952,0.0616368463463442,0.870666666666667,-0.00127887086560013,0.964666666666667
"PFAnons","FreeParm","EKF",200,5,"time_series",-0.0264402012753127,-0.0230109201710499,0.0337306378148413,0.783,-0.00115580533871343,1
"PFAnons","FreeParm","FreeParm",20,50,"init_cond",-0.0445183349160604,-0.069482149596363,0.269833644983335,0.912121212121212,-0.00353271638558094,0.747272727272727
"PFAnons","FreeParm","FreeParm",20,50,"measurement",-0.000591667925725903,-0.000510581031034157,0.0346711396168475,0.950909090909091,-0.000236231104662378,1
"PFAnons","FreeParm","FreeParm",20,50,"process_noise",-0.00887378922080478,-0.0305464578519813,0.0357901659954072,0.939393939393939,-0.00193723390531612,0.974747474747475
"PFAnons","FreeParm","FreeParm",20,50,"time_series",-9.76813724471171e-05,-8.82922372948323e-05,0.00301600917722488,0.959090909090909,-0.00023912423858494,1
"PFAnons","FreeParm","FreeParm",200,5,"init_cond",-0.00477689983214564,-0.00789445127034417,0.0927028817546836,0.9412,0.00114831277832091,0.9912
"PFAnons","FreeParm","FreeParm",200,5,"measurement",-0.00093392585210158,-0.00102609693801505,0.0431225789635031,0.9474,-6.61973002599434e-05,1
"PFAnons","FreeParm","FreeParm",200,5,"process_noise",-0.00935680138740203,-0.0326367304047988,0.0438056363917027,0.950666666666667,-0.0021119925081878,0.946666666666667
"PFAnons","FreeParm","FreeParm",200,5,"time_series",0.000686687384201662,0.000525691427634115,0.0216211846131403,0.965,-0.00117236532225407,1
"PFAnons","FreeParm","largeK",20,50,"measurement",-0.00084462751799716,-0.000714576152534143,0.034642717886441,0.95134328358209,-0.000296967330975232,1
"PFAnons","FreeParm","largeK",20,50,"process_noise",-0.00872058668670611,-0.02943738937273,0.0359888174399121,0.941293532338308,-0.00176736804504175,0.974129353233831
"PFAnons","FreeParm","largeK",20,50,"time_series",-0.000152502209318436,-0.000151999414144113,0.0030263215577765,0.956716417910448,-0.000235759914659352,1
"PFAnons","FreeParm","largeK",200,5,"measurement",-0.0189223905054389,-0.01688454497174,0.0545963597822134,0.7578,-0.000266659265211439,1
"PFAnons","FreeParm","largeK",200,5,"process_noise",0.0388544329795449,0.117579850152976,0.0615915177943046,0.872,-0.00127882307296788,0.964666666666667
"PFAnons","FreeParm","largeK",200,5,"time_series",-0.0263958134169728,-0.0229575016402294,0.0336946612673283,0.7835,-0.00115623590357705,1
"PFAnons","FreeParm","Null",20,50,"measurement",0.0233095057156205,0.0379176338349925,0.0475419347615718,0.85952380952381,0.000891502674695753,1
"PFAnons","FreeParm","Null",20,50,"process_noise",-0.0245403403462507,-0.149257197336367,0.0418510215332727,0.909722222222222,-0.00581261277591972,0.866071428571429
"PFAnons","FreeParm","Null",20,50,"time_series",-0.000179464904801141,-0.000198648963469121,0.00304283035143676,0.967261904761905,-0.00037458291060536,1
"PFAnons","FreeParm","Null",200,5,"measurement",0.245723725135061,0.364379090850368,0.265292747098377,0.479,0.0032002400388217,1
"PFAnons","FreeParm","Null",200,5,"process_noise",-0.021640505905508,-0.301820491282992,0.0691129802021764,0.896666666666667,-0.0389248209630143,0.666666666666667
"PFAnons","FreeParm","Null",200,5,"time_series",-0.00189681153891105,0.0023095521245489,0.0292504150484844,0.982,-0.0122942438265705,1
"PFAnons","Null","deJong",20,50,"measurement",-0.000370446275984265,-0.000679957752406779,0.0346892223160525,0.950931677018634,-0.000493011346433064,1
"PFAnons","Null","deJong",20,50,"process_noise",-0.0108118301276145,-0.0369026628768992,0.0362017459281898,0.943064182194617,-0.0022601231460701,0.975155279503106
"PFAnons","Null","deJong",20,50,"time_series",-0.000303355666589497,-0.000403989450102928,0.00346948496315945,0.963509316770186,-0.000193129516437212,1
"PFAnons","Null","deJong",200,5,"measurement",-0.0592168349385755,-0.047738955637492,0.106350186476364,0.5742,0.000972222535107905,1
"PFAnons","Null","deJong",200,5,"process_noise",0.167823215056225,0.486991074437914,0.181409835823362,0.299333333333333,0.00202329487315674,0.971333333333333
"PFAnons","Null","deJong",200,5,"time_series",-0.0728001908725778,-0.0799955070856145,0.0836874462200366,0.536,-0.00250498735899975,1
"PFAnons","Null","EKF",20,50,"measurement",-0.000729497464791368,-0.00122804339199762,0.0347910691081388,0.954006968641115,-0.00037248688140346,1
"PFAnons","Null","EKF",20,50,"process_noise",-0.0105492243305008,-0.0383524047433929,0.0362820289592437,0.944250871080139,-0.00199233074036056,0.97212543554007
"PFAnons","Null","EKF",20,50,"time_series",-0.000318375643357127,-0.00038854925710139,0.00352303321724948,0.961672473867596,-0.000164200029359317,1
"PFAnons","Null","EKF",200,5,"measurement",-0.059216836276965,-0.047738955990344,0.106350199215671,0.5742,0.000972236996907856,1
"PFAnons","Null","EKF",200,5,"process_noise",0.167823223311248,0.486991071481943,0.181409838543697,0.299333333333333,0.00202328243467961,0.971333333333333
"PFAnons","Null","EKF",200,5,"time_series",-0.0728001968328017,-0.0799955057081857,0.0836874587593901,0.536,-0.00250497123342948,1
"PFAnons","Null","FreeParm",20,50,"init_cond",-0.73211950164749,-0.994339648551237,0.734950424644732,0,-0.00900919458556694,0.00930232558139535
"PFAnons","Null","FreeParm",20,50,"measurement",-0.00169703705145236,-0.00237084477486253,0.0342542447732709,0.955813953488372,-0.000605084599498225,1
"PFAnons","Null","FreeParm",20,50,"process_noise",-0.01120800500861,-0.0409158128730505,0.0313364400807003,0.968992248062016,-0.00707646982316208,0.984496124031008
"PFAnons","Null","FreeParm",20,50,"time_series",-0.00029436398853544,-0.000436877656236847,0.00347518519577192,0.950581395348837,-0.000185387917452518,1
"PFAnons","Null","FreeParm",200,5,"init_cond",-0.733232198962534,-0.990828660206319,0.733553729763671,0,-0.000130304551637701,0.0440677966101695
"PFAnons","Null","FreeParm",200,5,"measurement",-0.000820041052612291,-0.00150560905212454,0.0510936604528012,0.944067796610169,0.000488220302172596,1
"PFAnons","Null","FreeParm",200,5,"process_noise",-0.00756787845382801,-0.0127145605235913,0.0473586345760904,0.906779661016949,0.000827037155839917,0.963276836158192
"PFAnons","Null","FreeParm",200,5,"time_series",-0.00254332679827192,-0.00206069222797412,0.0431923293525089,0.949152542372881,-5.36681375768854e-06,1
"PFAnons","Null","largeK",20,50,"measurement",-0.000792910374422468,-0.00133675726972175,0.0347530934400292,0.953819444444444,-0.000421315063332211,1
"PFAnons","Null","largeK",20,50,"process_noise",-0.0103227658675147,-0.0378766803638612,0.0361006176687419,0.946759259259259,-0.00214084752170371,0.972222222222222
