$\theta$ True IC Fitted IC N T True Value $\hat{\theta}$ $SE_\theta$ $\hat{SE}$ Bias RB RMSE cov pow
Z21 Null FreeParm 200 5 1.2 1.201 0.033 0.031 0.001 0.001 0.033 0.927 1
Z31 Null FreeParm 200 5 0.8 0.801 0.033 0.036 0.001 0.002 0.033 0.96 1
Z52 Null FreeParm 200 5 0.9 0.9 0.059 0.059 0 0 0.059 0.941 1
Z62 Null FreeParm 200 5 1.1 1.101 0.053 0.052 0.001 0.001 0.053 0.938 1
V11 Null FreeParm 200 5 0.05 0.477 0.053 0.049 0.427 8.545 0.43 0 1
V21 Null FreeParm 200 5 0.02 0.096 0.033 0.031 0.076 3.787 0.083 0.308 0.873
V22 Null FreeParm 200 5 0.05 0.498 0.057 0.053 0.448 8.969 0.452 0 1
T11 Null FreeParm 200 5 1.2 1.2 0.031 0.031 0 0 0.031 0.952 1
T21 Null FreeParm 200 5 -0.4 -0.402 0.034 0.041 -0.002 0.004 0.034 0.983 1
T12 Null FreeParm 200 5 0.6 0.601 0.054 0.056 0.001 0.001 0.054 0.96 1
T22 Null FreeParm 200 5 0.7 0.697 0.047 0.046 -0.003 -0.004 0.047 0.946 1
U11 Null FreeParm 200 5 0.8 0.801 0.041 0.042 0.001 0.001 0.041 0.972 1
U22 Null FreeParm 200 5 0.6 0.598 0.037 0.037 -0.002 -0.003 0.037 0.935 1
U33 Null FreeParm 200 5 2 2.005 0.092 0.093 0.005 0.002 0.092 0.955 1
U44 Null FreeParm 200 5 1 1 0.051 0.052 0 0 0.051 0.963 1
U55 Null FreeParm 200 5 1.5 1.5 0.073 0.072 0 0 0.073 0.941 1
U66 Null FreeParm 200 5 0.4 0.397 0.031 0.03 -0.003 -0.008 0.031 0.935 1
Z21 Null FreeParm 200 5 1 0.002 0.029 0.028 -0.998 -0.998 0.998 0 0.073
Z31 Null FreeParm 200 5 0.5 0 0.03 0.03 -0.5 -1 0.501 0 0.042
Z52 Null FreeParm 200 5 1.2 0 0 0 -1.2 -1 1.2 0 0.054
Z62 Null FreeParm 200 5 0.3 0 0 0 -0.3 -1 0.3 0 0.048
V11 Null FreeParm 200 5 0.7 0.005 0.011 0.007 -0.695 -0.993 0.695 0 0.025
V21 Null Null 200 5 1.2 1.202 0.033 0.031 0.002 0.002 0.033 0.924 1
V22 Null Null 200 5 0.8 0.802 0.034 0.036 0.002 0.002 0.034 0.966 1
T11 Null Null 200 5 0.9 0.899 0.06 0.059 -0.001 -0.001 0.06 0.936 1
T21 Null Null 200 5 1.1 1.099 0.053 0.052 -0.001 -0.001 0.053 0.936 1
T12 Null Null 200 5 0.05 0.478 0.051 0.049 0.428 8.565 0.431 0 1
T22 Null Null 200 5 0.02 0.096 0.033 0.031 0.076 3.813 0.083 0.31 0.88
U11 Null Null 200 5 0.05 0.5 0.055 0.053 0.45 8.992 0.453 0 1
U22 Null Null 200 5 1.2 1.199 0.03 0.031 -0.001 0 0.03 0.954 1
U33 Null Null 200 5 -0.4 -0.402 0.034 0.041 -0.002 0.005 0.034 0.988 1
U44 Null Null 200 5 0.6 0.601 0.056 0.056 0.001 0.002 0.055 0.954 1
U55 Null Null 200 5 0.7 0.697 0.047 0.046 -0.003 -0.005 0.047 0.944 1
U66 Null Null 200 5 0.8 0.801 0.043 0.042 0.001 0.002 0.043 0.96 1
X01 Null Null 200 5 0.6 0.599 0.038 0.037 -0.001 -0.002 0.038 0.938 1
